,Bearing 1 C1,Bearing 1 C2,Bearing 2 C1,Bearing 2 C2,Bearing 3 C1,Bearing 3 C2,Bearing 4 C1,Bearing 4 C2
2003-10-22 12:06:24,0.1041478587821671,0.10025274671614826,0.10714727281605549,0.10200415059329068,0.10614854240929732,0.10815034913814149,0.09480252942038185,0.09951311099174764
2003-10-22 12:09:13,0.10365130133307292,0.09985399677718639,0.10818902290150886,0.10291996679525367,0.10666092094340544,0.10845846965183847,0.09507007178084868,0.09358694272181259
2003-10-22 12:14:13,0.10503872259387664,0.1015426534498755,0.10854343473802432,0.1040417989159627,0.10874022169051224,0.10987538454026075,0.09615777137555544,0.09829854973387372
2003-10-22 12:19:13,0.10490014160847698,0.10157331900971726,0.10815152107036477,0.10337775281996191,0.1080682650520045,0.11001010791542555,0.09681385809853997,0.09860178719664045
2003-10-22 12:24:13,0.10477860247082377,0.1021811123590019,0.10794330777870013,0.1026294740954148,0.10845397724498267,0.10934962644660384,0.0963575858196201,0.09847082377069193
2003-10-22 12:29:13,0.1052314566140925,0.10172996728355876,0.10768069729967282,0.10231031788661554,0.10850832560183601,0.11045021729576639,0.10697182479613263,0.09818028224034377
2003-10-22 12:34:13,0.10503125152595344,0.10104375213633479,0.10827496459788077,0.10279124957273304,0.10836578934518287,0.10962161238341717,0.051722447385126234,0.09706572586552079
2003-10-22 12:39:13,0.10477469603007958,0.10137726451486889,0.10730099125933883,0.10293974315152107,0.10792641242248156,0.10974246789394014,0.10254480199228477,0.0979538551687094
2003-10-22 12:44:13,0.10517222520630891,0.10175423604668196,0.10840749060012694,0.10315523218907172,0.10857766492504517,0.10882181747155623,0.06754958738219641,0.09769603007959372
2003-10-22 12:49:13,0.10438307534547586,0.10131153864934811,0.10692777967674202,0.10247468138092682,0.10819229454563212,0.10951701743249181,0.08474984130084477,0.09800156257629768
2003-10-22 12:54:13,0.10468308999462866,0.10186430001464913,0.10725054934322965,0.10219888666438791,0.10775057375848432,0.10932203720884809,0.11661458079007765,0.09786508130279799
2003-10-22 12:59:13,0.1041566971043508,0.10169090287611701,0.10735250744665266,0.10311436105278579,0.10846408516040822,0.11041339909175252,0.08320528346110649,0.09803261878021387
2003-10-22 13:04:13,0.10392235949020949,0.10128199619122027,0.1071721763757996,0.10266502270618681,0.10741676839689437,0.10867996484203331,0.09538615166756188,0.09788119537086772
2003-10-22 13:09:13,0.1042470335465599,0.10125523707212265,0.10707139020459984,0.10282357536989112,0.10861780360369158,0.11053152009375457,0.09465266858733339,0.09878446213194003
2003-10-22 13:14:13,0.10432755505639923,0.1012184676986181,0.10692987938864203,0.10188519947263049,0.1080618682552859,0.1093358074124713,0.09508330484886958,0.09794584696518384
2003-10-22 13:19:13,0.10721783290199717,0.10384862542116313,0.10730528834415741,0.10218872991845304,0.10786288392987939,0.10822784315640413,0.09579325162361443,0.09825426046193662
