,Bearing 1,Bearing 2,Bearing 3,Bearing 4
2004-03-04 09:27:46,0.06163001123101714,0.0752783339030226,0.05199086869476049,0.04347458371990821
2004-03-04 09:32:46,0.06077415889447727,0.07220577176619952,0.05223868352946921,0.042039357390497585
2004-03-04 09:42:46,0.06219483373211583,0.07288554128619562,0.05480936569168417,0.04135988085355731
2004-03-04 09:52:46,0.06299438449143024,0.07343327310903854,0.05426109673323892,0.043126373358074135
2004-03-04 10:02:46,0.06194530982958152,0.07300610381366278,0.053236534987059915,0.042617022315542756
2004-03-04 10:12:46,0.062235363054836665,0.07331568924263882,0.05501787196640462,0.04203608574637434
2004-03-04 10:22:46,0.06274534889398896,0.074657942282338,0.054542116314273165,0.04353757507690806
2004-03-04 10:32:46,0.06109639142536258,0.07284847892963524,0.05285365496362127,0.04239621075247816
2004-03-04 10:42:46,0.0620263196445139,0.07459763660334977,0.055358708921334064,0.04353659846672201
2004-03-04 10:52:46,0.06096113091459545,0.07398491137262561,0.054706919283168114,0.042707309927242545
2004-03-04 11:02:46,0.061742223741393626,0.07506523756042777,0.05414063186679038,0.04284344938717711
2004-03-04 11:12:46,0.06218868108794375,0.07407314810293471,0.05481869231896089,0.04313926461252991
2004-03-04 11:22:46,0.06269686019825187,0.07502978661067435,0.05493285804970946,0.04370101079154256
2004-03-04 11:32:46,0.0614788808047268,0.07302060647492553,0.054038576102348745,0.04198154206748377
2004-03-04 11:42:46,0.06356701987401729,0.07480292006445628,0.05467679085892867,0.043118365154548574
2004-03-04 11:52:46,0.06327247424190635,0.07510957566287418,0.05656492016211729,0.04358645441671957
2004-03-04 12:02:46,0.06365188729918453,0.07477635626739589,0.05632648078519459,0.04399707016944187
2004-03-04 12:12:46,0.06256570145026613,0.0731942965965135,0.05426842130963426,0.04320396503735534
2004-03-04 12:22:46,0.06280877972557254,0.07435407002295034,0.056745300063479664,0.042992382440548864
2004-03-04 12:32:46,0.06442438595634552,0.0749115191171444,0.055816787929098104,0.0443905952439084
2004-03-04 12:42:46,0.06499042922017675,0.07581371160701207,0.05505991503491382,0.043764734606181944
2004-03-04 12:52:46,0.06454079789052201,0.07586366521802823,0.05841110405781533,0.04456916841642659
2004-03-04 13:02:46,0.06423355632599248,0.07601313540700229,0.05806142878070219,0.04393031886322575
2004-03-04 13:12:46,0.06323560720738317,0.07453713560232435,0.05652409785634064,0.04366175106206358
2004-03-04 13:22:46,0.0649998046779628,0.07549138141510817,0.057068899848625426,0.043902192489867674
2004-03-04 13:32:46,0.06386986669270961,0.07338981395575957,0.05583607598027248,0.0435805947556033
2004-03-04 13:42:46,0.062008301186581384,0.07376385565701452,0.05646047170271987,0.042931100151374586
2004-03-04 13:52:46,0.06348698666927097,0.07445290297377802,0.054941647541383865,0.04381971775965624
2004-03-04 14:02:46,0.0623750671419503,0.07398715757605352,0.05422711069876459,0.04381297914937253
2004-03-04 14:12:46,0.06395029054153034,0.07381346745446554,0.05674901118218663,0.04439674788808048
2004-03-04 14:22:46,0.06328292397089702,0.074006787440793,0.05455183358562431,0.043194931393134434
2004-03-04 14:32:46,0.06292597294789785,0.07353254553444993,0.05539708970164559,0.04361868255285903
2004-03-04 14:42:46,0.0632892719371063,0.0735162849748523,0.05516778162996241,0.043842716929537576
2004-03-04 14:52:46,0.06354807363640805,0.07468914497778212,0.05613179354460668,0.04393676449045363
2004-03-04 15:02:46,0.06311338444259973,0.07325406513989942,0.056573074857170766,0.043659456028126375
2004-03-04 15:12:46,0.06352898090727087,0.07389520972703743,0.055843888861760824,0.04426402656379707
2004-03-04 15:22:46,0.06372659797841693,0.07197748913521168,0.05433776063284341,0.04320694369842278
2004-03-04 15:32:46,0.06336525220958054,0.07424078324136921,0.05440949265100835,0.04422476683431809
2004-03-04 15:42:46,0.06376043752136336,0.07388378338786075,0.05604673079740222,0.043832901997167835
2004-03-04 15:52:46,0.0635232189071732,0.07393398115142341,0.05568494555398213,0.0437174666731774
2004-03-04 16:02:46,0.06323795107182968,0.0725298598564383,0.05468802187606817,0.044189364715073974
2004-03-04 16:12:46,0.06501191464426974,0.07573558279212853,0.05516367986718101,0.04430787636115045
2004-03-04 16:22:46,0.062281556716636564,0.07295893354167683,0.05453972361931735,0.04287587284535378
2004-03-04 16:32:46,0.06324224815664826,0.07317598515552519,0.05429967283558768,0.04406548171297427
2004-03-04 16:42:46,0.0624481664143757,0.07165095951950778,0.05291757410029787,0.04250607939840813
2004-03-04 16:52:46,0.06160764685775673,0.0728208408613702,0.05478543874212608,0.04296835782997217
2004-03-04 17:02:46,0.06271717369012159,0.07288475999804679,0.053985594999755845,0.04348166414375702
